Key,English,Japanese,Korean,Taiwan,Chinese,French,Spanish,Portuguese,Thai,Indonesian,Vietnamese,Russian,German
[IosStoreUrl],https://apps.apple.com/jp/app/id1611490041,https://apps.apple.com/jp/app/id1611490041,https://apps.apple.com/jp/app/id1611490041,https://apps.apple.com/jp/app/id1611490041,https://apps.apple.com/jp/app/id1611490041,https://apps.apple.com/jp/app/id1611490041,https://apps.apple.com/jp/app/id1611490041,https://apps.apple.com/jp/app/id1611490041,https://apps.apple.com/jp/app/id1611490041,https://apps.apple.com/jp/app/id1611490041,https://apps.apple.com/jp/app/id1611490041,https://apps.apple.com/jp/app/id1611490041,https://apps.apple.com/jp/app/id1611490041
[AndroidStoreUrl],https://play.google.com/store/apps/details?id=jp.boi.mementomori.android,https://play.google.com/store/apps/details?id=jp.boi.mementomori.android,https://play.google.com/store/apps/details?id=jp.boi.mementomori.android,https://play.google.com/store/apps/details?id=jp.boi.mementomori.android,https://play.google.com/store/apps/details?id=jp.boi.mementomori.android,https://play.google.com/store/apps/details?id=jp.boi.mementomori.android,https://play.google.com/store/apps/details?id=jp.boi.mementomori.android,https://play.google.com/store/apps/details?id=jp.boi.mementomori.android,https://play.google.com/store/apps/details?id=jp.boi.mementomori.android,https://play.google.com/store/apps/details?id=jp.boi.mementomori.android,https://play.google.com/store/apps/details?id=jp.boi.mementomori.android,https://play.google.com/store/apps/details?id=jp.boi.mementomori.android,https://play.google.com/store/apps/details?id=jp.boi.mementomori.android
[DmmStoreUrl],https://mememori-game.com/dmg/,https://mememori-game.com/dmg/,https://mememori-game.com/dmg/,https://mememori-game.com/dmg/,https://mememori-game.com/dmg/,https://mememori-game.com/dmg/,https://mememori-game.com/dmg/,https://mememori-game.com/dmg/,https://mememori-game.com/dmg/,https://mememori-game.com/dmg/,https://mememori-game.com/dmg/,https://mememori-game.com/dmg/,https://mememori-game.com/dmg/
[ApkStoreUrl],https://mememori-game.com/boi_official/,https://mememori-game.com/boi_official/,https://mememori-game.com/boi_official/,https://mememori-game.com/boi_official/,https://mememori-game.com/boi_official/,https://mememori-game.com/boi_official/,https://mememori-game.com/boi_official/,https://mememori-game.com/boi_official/,https://mememori-game.com/boi_official/,https://mememori-game.com/boi_official/,https://mememori-game.com/boi_official/,https://mememori-game.com/boi_official/,https://mememori-game.com/boi_official/
[CommonOkLabel],OK,OK,확인,OK,OK,OK,OK,OK,ตกลง,OK,OK,ОК,OK
[CommonDecisionLabel],Confirm,決定,결정,決定,确定,Confirmer,Confirmar,Confirmar,ยืนยัน,Konfirmasi,Xác Nhận,Подтвердить,Bestätigen
[CommonCloseLabel],Close,閉じる,닫기,關閉,关闭,Fermer,Cerrar,Fechar,ปิด,Tutup,Đóng,Закрыть,Schließen
[CommonCancelLabel],Cancel,キャンセル,취소,取消,取消,Annuler,Cancelar,Cancelar,ยกเลิก,Batal,Hủy,Отмена,Abbrechen
[CommonUpdateLabel],Update,更新する,업데이트,更新,更新,Actualiser,Actualizar,Atualizar,อัปเดต,Update,Cập Nhật,Обновить,Aktualisieren
[CommonCurrencyPaidLabel],Paid,有償,유료,付費,付费,Payant,Pagado,Pago,เติม,Berbayar,Thanh Toán,Платно,Bezahlt
[CommonInputLabel],Enter,入力,입력,輸入,输入,Saisie,Entrar,Inserir,กรอก,Masukkan,Nhập,Ввод,Eingeben
[CommonSettingLabel],Settings,設定,설정,設定,确定,Paramètres,Ajustes,Configuração,การตั้งค่า,Pengaturan,Cài Đặt,Настройки,Einstellungen
[CommonCompleteInputLabel],Finished,入力完了,입력 완료,完成,输入完毕,Terminé,Terminado,Confirmar,เสร็จสิ้น,Selesai,Hoàn Thành,Завершено,Fertig
