Ignore,Key,Message
Y,メッセージ,
,msg1-1,"Je croyais les gens de l'Église <br>plus dociles, mais bon..."
,msg1-2,
,msg2-1,"Pas elle, visiblement."
,msg2-2,Elle semblait réfléchir avec <br>sa tête et choisir avec son cœur.
,msg3-1,"Et pas seulement <br>par intérêt personnel, "
,msg3-2,mais bien pour <br>secourir des inconnus... 
,msg3-3,C'était la première fois que <br>j'avais affaire à ce genre <br>de personne.
,msg4-1,J'ai accepté sa requête en me <br>disant que le jeu en vaudrait <br>la chandelle.
,msg4-2,
,msg5-1,Mon nouveau rôle de bonne <br>sœur m'avait amenée à conseiller <br>des âmes égarées venues <br>à l'église afin qu'elles puissent <br>résoudre leurs problèmes <br>par elles-mêmes.
,msg5-2,
,msg6-1,Mon herméticité à la foi m'avait <br>certes éloignée du troupeau... 
,msg6-2,mais je menais une vie très <br>épanouissante.
