Ignore,Key,Message
Y,メッセージ,
,msg1,البلورات الملعونة تخرب الأرض.
,msg2,مصدر هذه اللعنة هو أوفيليا التي <br>تحولت إلى ساحرة قليفا.
,msg3,أنا على ثقة بأنها تعاني <br>من الكثير من الآلام...تعاني وحدها.
,msg4,"الشخص الوحيد الذي لديه أي فرصة <br>لإيقافها هو أنا... لا، يجب أن أمنعها <br>من القيام بذلك."
,msg5,"أخذت سيف حامي القسم، <br>والتفت أصابعي بإحكام <br>حول قبضته."
,msg6,"...أنا من أجبرت أوفيليا على قطع <br>هذا الوعد... والآن، أنا من سيقبل <br>على قتلها؟"
,msg7,"...آه لقد فهمت. في نهاية المطاف، <br>أنا لست مختلفة عن أشقائي. <br>ولهذا السبب...عندما أنهي حياتها، <br>سأنهي حياتي في أقرب وقت."
,msg8,
,msg9,"لكن البلورات حاصرت الأرض، <br>وأعاقت رحلتي بالمخاطر <br>واحدة تلو الأخرى."
,msg10,"في ذلك الوقت، وهناك قابلت الدوق."
,msg11,"كان يمتلك صولجانًا قادرًا <br>على إضعاف قوة اللعنة... <br>إذا كان بإمكاني استعارة هذه <br>القوة، فربما...!"
,msg12,"انتظريني قليلاً بعد، أوفيليا... <br>سآتي من أجلكِ. أقسم لكِ."
