Ignore,Key,Message
Y,メッセージ,
,msg1-1,ข้าจะปล่อยให้ใครก็ต<br>ามรู้ถึงตัวตนของนางไม่ได้ 
,msg1-2,ข้ามั่นใจว่าพวกเขาจะต้<br>องเป็นเหมือนพ่อกับแม่ 
,msg1-3,"ที่เรียกข้าว่า ""เด็กบ้า"""
,msg2-1,หากพวกเขาพูดอย่างนั้น<br>นางก็จะปรากฏตัวออกมาอีก 
,msg2-2,เพราะอย่างนั้นข้าจึงซ่อนนาง<br>ไว้ภายใต้หน้ากากเปี่ยมสุข
,msg3-1,การซ่อนสิ่งต่าง ๆ<br>คือความสามารถพิเศษของข้า 
,msg3-2,นอกจากข้าแล้ว<br>ก็ไม่มีใครที่จำเป็นต้อง<br>รู้ความจริงทั้งนั้น 
,msg3-3,นางอยู่เคียงข้างข้า<br>และข้าก็อยู่เคียงข้างนาง 
,msg3-4,เราไม่ต้องการใครอื่นอีก!
,msg4-1,หากข้าสามารถฝังกลบทุกสิ่ง<br>ไว้ภายใต้หน้ากากเปี่ยมสุขนี้ได้<br>ก็จะไม่มีใคร…
,msg4-2,ได้ล่วงรู้ความจริง
