Ignore,Key,Message
Y,メッセージ,
,msg1-1,¿Cuánto poder puede <br>dar el Árbol de la Vida? 
,msg1-2,¿Cuánto tiempo tiene que <br>vivir un homúnculo <br>convertido en bruja? 
,msg1-3,"Todo es nuevo para mí, <br>así que no tengo ni idea."
,msg2-1,Pero sé que mi tiempo <br>con la pequeña A será breve.
,msg2-2,
,msg3,Puede que tengamos <br>10 años más... o puede que <br>tengamos hasta mañana...
,msg4-1,"Algún día aceptaré el <br>castigo por mis pecados, "
,msg4-2,pero no me arrepiento de nada.
,msg5-1,Incluso si lo que te espera <br>es la más dolorosa <br>de las despedidas... 
,msg5-2,
,msg5-3,Aunque mi alma <br>se haga pedazos...
,msg6-1,Nunca olvidaré todos <br>los cálidos recuerdos que <br>me dio la pequeña A... 
,msg6-2,para el resto de mi vida.
