Ignore,Key,Message,
Y,メッセージ,,
,msg1-1,"Para poder<br>sobreviver como criança,",
,msg1-2,eu aceitei ser comprada<br>como dançarina de uma taverna.,
,msg2-1,A dança exótica de uma<br>nação estrangeira — ,
,msg2-2,única herança deixada<br>pelo meu pai —,
,msg3-1,"parece ter sido perfeita<br>para animar a taverna, ",
,msg3-2,pois eu me transformei<br>na estrela do lugar em<br>muito pouco tempo.,
,msg4,"Depois disso, continuei<br>dançando ali por vários anos.",
,msg5-1,"Embora eu não<br>pudesse ir embora, ",
,msg5-2,não passava nenhuma<br>necessidade e era tratada<br>muito bem por todos.,m
,msg6-1,"Ainda assim,",
,msg6-2,"nunca desapareceu da<br>minha cabeça a adoração<br>pela terra natal do meu pai, ",
,msg6-3,sobre a qual ele me contava.,
