Ignore,Key,Message
Y,メッセージ,
,msg1,"Uma ilha remota comum,<br>sem nada de especial.<br>É a terra onde eu nasci."
,msg2,Só tem duas<br>coisas nesta ilha.
,msg3,Umas águas termais<br>muito boas pra dor nas<br>costas e a lenda sobre<br>a Espada Negra.
,msg4,"A pessoa que encontra essa<br>espada é obrigada a procurar<br>o seu verdadeiro dono,<br>a ""portadora da espada""."
,msg5,"Se não fizer isso,<br>tem a sua vida sugada<br>por ela e acaba morrendo —<br>é o que conta a história."
,msg6,"Os garotos da vila sempre<br>fizeram de tudo pra achar<br>a espada,<br>mas eu...<br>Eu nunca tive<br>interesse nenhum."
,msg7,"Se a gente se tornasse<br>dona dela,<br>ainda vá, "
,msg8,"mas essa história de<br>""ir em busca do verdadeiro dono""<br>parece chato."
,msg9,Eu prefiro mesmo é<br>levar uma vida tranquila.
,msg10,
