Ignore,Key,Message
Y,メッセージ,
,msg1-1,"Ich sehe ein Mädchen<br>mit einem sanften,<br>Lächeln. "
,msg1-2,"Der Herzog,<br>der an ihrer Seite ist,<br>sieht aus wie ein Gentleman."
,msg2-1,Ich verstand es sofort. 
,msg2-2,"Dieses Mädchen bin ich,<br>und dies ist eine<br>mögliche Zukunft,<br>in der ich glücklich bin."
,msg3-1,Ach so. 
,msg3-2,"Wenn ich jemanden<br>gehabt hätte,<br>der mich braucht, "
,msg3-3,"und ihn unterstützen könnte,<br>hätte ich also glücklich<br>werden können."
,msg4-1,Was zum Teufel? 
,msg4-2,"Was fällt dir eigentlich ein,<br>mir das alles jetzt zu zeigen?!"
,msg5-1,Ich hätte nie eine solche<br>Zukunft haben können! 
,msg5-2,"Ein anderes Leben,<br>als eines voller Blut und<br>Dreck hätte ich nie gehabt!"
,msg6-1,"Es ist ja nicht so,<br>dass ich so werden wollte ... "
,msg6-2,"aber jetzt zu sehen,<br>dass alles ein riesiger<br>Fehler war ... "
,msg6-3,Was zum Teufel soll<br>ich denn jetzt tun?
,msg7-1,"... Nein,<br>das sieht mir<br>überhaupt nicht ähnlich. "
,msg7-2,"Ich nehme mir, was ich will.<br>Das ist meine Art zu leben.<br>Und darum ..."
,msg8-1,"Ich blicke zu den beiden auf,<br>wie sie so freudig<br>lächelnd dastehen, "
,msg8-2,und gehe auf sie zu ...
