Ignore,Key,Message
Y,メッセージ,
,msg1,在命运的洪流面前，<br>人类无能为力。<br>只能束手无策地<br>变成落汤鸡……
,msg2,在我恍惚地眺望湖面，<br>开始思考人生真理的时候，<br>耳边突然传来了声音。
,msg3,我是守墓人，<br>能听见那种幽幽的声音。
,msg4,那声音听起来<br>既痛苦，又悲伤……<br>这地方以前似乎<br>发生过什么事……
,msg5,就在这时，<br>湖畔突然传来了一声惨叫。
,msg6,我转头一看，<br>发现大家都蹲在水中，<br>面前还出现了一头诅咒邪兽！
,msg7,正当我想赶过去救人的时候，<br>一阵浓雾笼罩了我的四周。
,msg8,“你帮不上忙。”
,msg9,……！
,msg10,早已过世的爸爸<br>出现在浓雾里。
,msg11,“瘟疫侵袭村庄的时候，<br>　你一直袖手旁观。”
,msg12,我突然掉进了湖里。
,msg13,这是浓雾制造出来的幻影。<br>我很清楚，<br>却还是怕得无法呼吸，<br>手脚动弹不得……
,msg14,“这一次，你还是帮不上忙。”
,msg15,接着，我失去了意识。
