Ignore,Key,Message
Y,メッセージ,
,msg1-1,Нет способа превратить<br>ведьму в человека... 
,msg1-2,"но Церковь воспользовалась<br>ситуацией и обманула моих<br>добродушных родителей,<br>украв их имущество."
,msg2,"Осознав,<br>что у них больше<br>ничего не осталось,<br>чтобы отдать Церкви,<br>родители отдали свои жизни!.."
,msg3,Дураки...<br>Два...<br>наивных дурака... 
,msg4,"Вы действительно верили,<br>что есть способ?..<br>Способ превратить меня,<br>ведьму, назад в человека?"
,msg5,"Вы дураки,<br>раз поверили<br>в такую глупость... "
,msg6,Мои мама и папа были<br>такими добрыми людьми...<br>но они глупцы.
,msg7-1,"Церковь думает, что если<br>в деле замешана ведьма,<br>они вольны делать все,<br>что им вздумается. "
,msg7-2,"Если это ведьма,<br>то можно лгать...<br>и обманывать!.."
,msg8,"Что же,<br>я не дам им<br>обмануть меня."
,msg9-1,Честность не<br>оправдывает себя. 
,msg9-2,"А раз так,<br>то я стану лгуньей."
,msg10-1,Я не позволю себе<br>быть дурочкой и<br>дать себя убить. 
,msg10-2,"Я стану тем,<br>кто обманывает...<br>и выживу!.."
,msg11-1,"Если Церковь так сильно<br>ненавидит ведьм, что же<br>они сделают, если я, ведьма, "
,msg11-2,заберу все их наворованные<br>денежки и раздам другим<br>ведьмам... Кто тогда<br>останется в дураках?
,msg12,"Ну что же,<br>пора приступить к делу... "
,msg13,"""Эй, отец.<br>Да, ты.<br>Не знаешь, как добиться<br>аудиенции у Папессы?"""
