Ignore,Key,Message,,,,,,,,
Y,メッセージ,,,,,,,,,
,msg1-1,"각오를 하고,<br>저는 기사님에게<br>양팔을 내밀었습니다.",,,,,,,,
,msg1-2,하지만 그분은<br>제 손을 꼭 쥐고선<br>‘고맙네’ 라는 게 아닌가요.,,,,,,,,
,msg2-1,"고개를 들자, 모두가 저를<br>따스한 눈으로 바라볼 뿐...",,,,,,,,
,msg2-2,누구도 겁먹은 눈은<br>하고 있지 않았습니다.,,,,,,,,
,msg3,"어, 째서...<br>마녀인 제게...",,,,,,,,
,msg4-1,‘이곳에 사람들을 위협하는<br> 나쁜 마녀 따윈 없네.,,,,,,,,
,msg4-2,마음씨 고운 성녀님이<br>기적을 일으켰을 뿐이야.’,,,,,,,,
,msg5,아아... 역시<br>전 아직 한참 멀었어요.,,,,,,,,
,msg6,"세상 사람들이 다<br>저를 미워하는 것도 아닌데,<br>마녀라는 이유로 지레 겁먹고...",,,,,,,,
,msg7,"이래서야, 살릴 수 있는<br>사람도 못 살리겠죠.",,,,,,,,
,msg8,"다시금 각오를 다지겠어요.<br>마녀로서, 치료사로서...<br>앞만 보며 나아가겠어요.",,,,,,,,
,msg9-1,괜찮아요.,,,,,,,,
,msg9-2,세상은 이렇게나<br>상냥한 빛으로<br>가득 차 있으니까요...,,,,,,,,
