Ignore,Key,Message,,,,,,,,,
Y,メッセージ,,,,,,,,,,
,msg1,"네브라와 처음 만난 건,<br>버려진 마녀들의 아지트였다.",,,,,,,,,
,msg2-1,"모두가 절망하고 있었지만,<br>그 아이만큼은 달랐다.",,,,,,,,,
,msg2-2,"행복하게 웃으며, 곁에 있기만 해도<br>피폐해진 마음이 치유되는 느낌...",,,,,,,,,
,msg3-1,"마치 성모 같은 그녀에게<br>기대는 아이들도 많았지만,<br>나는 모든 아이들의 리더야...",,,,,,,,,
,msg3-2,약한 모습을 보일 순 없어.,,,,,,,,,
,msg4,"그런 생각으로<br>거리를 두던 나에게,<br>그녀는 이렇게 말했다.",,,,,,,,,
,msg5,‘혼자 전부 짊어지지 마...<br> 내가 있잖아.’,,,,,,,,,
,msg6-1,처음엔 낯간지러워<br>자리를 피하고 말았지만...,,,,,,,,,
,msg6-2,네브라는 몇 번이고 날 찾아와<br>곁에서 미소 지어 주었다.,,,,,,,,,
,msg6-3,"어느새 그녀가 곁에 있는 게<br>당연해져 있었고,<br>언제부턴가 이런 생각이 들었다.",,,,,,,,,
,msg7,이 미소를 지키는 것...<br>그것이야말로 나의 사명.,,,,,,,,,
,msg8,"살아서도 죽어서도,<br>네브라를 지키겠어.",,,,,,,,,
