Ignore,Key,Message
Y,メッセージ,
,msg1,"I can’t believe<br>Fenrir an’ Cerberus<br>are at the Duke’s mansion, too!"
,msg2,We became friends<br>back on that mountain!
,msg3-1,"This takes me back...<br>I remember the three o’ us<br>foragin’ for wild edible plants,<br>an’ chasin’ after bugs..."
,msg3-2,"It wasn’t for very long,<br>but it sure was fun."
,msg4,"I’m real glad the two of them<br>are able to smile<br>like that again now.<br>Despite what happened, n’ all..."
,msg5,A pang ran through my chest.<br>What happened to them<br>was likely all because I...!
,msg6,"“...! Oh no, it’s nothin’,<br>Fenrir, Cerberus.<br>So, don’t pay me no mind!”"
,msg7-1,"“So, yuh both traveled to<br>a bunch o’ countries<br>with the Duke, <br>an’ even made<br>candy together? Huh..."
,msg7-2,"Knowin’ yuh’ve made<br>so many fun memories<br>makes me happy, too.”"
,msg8-1,"“I can make memories<br>with the two o’ yuh<br>from now on, too...?"
,msg8-2,...I’d sure like to...if I could...”
,msg9-1,"But, I don’t have the right to..."
,msg9-2,’Cause I...I was the one<br>who abandoned the two o’ yuh...
