Ignore,Key,Message,,,,,,,,,,,
Y,メッセージ,,,,,,,,,,,,
,msg1-1,나는 사람들에게 숨겨진 힘이 보여.,,,,,,,,,,,
,msg1-2,"영혼을 보는 능력이라고도 하던데,<br>나도 자세히는 몰라.",,,,,,,,,,,
,msg2,"중요한 건 이 힘이,<br>노력하는 아이를 도와주라고<br>하늘이 내게 준 능력이라는 거야.",,,,,,,,,,,
,msg3-1,최선을 다해 노력하는 모습은<br>그 무엇보다 아름다워.,,,,,,,,,,,
,msg3-2,"인간이 살아가는 의미는<br>어디에 도달했는지가 아니라,<br>어떻게 도달했는지로<br>정해지는 거니까.",,,,,,,,,,,
,msg4,그래서 난 이 능력으로<br>많은 아이들을 가르쳐 왔지.,,,,,,,,,,,
,msg5,"그러던 어느 날,<br>한 지방 귀족에게서 딸을<br>맡아달라는 의뢰가 들어왔어.",,,,,,,,,,,
,msg6,"이런 의뢰가 생각보다 많아.<br>마녀는 공포와 박해의 대상이지만,<br>힘만 제어할 수 있다면<br>정체를 숨길 수 있거든.",,,,,,,,,,,
,msg7-1,하지만 그 아이를 처음 본 순간...,,,,,,,,,,,
,msg7-2,그 안에 깃든 너무나 아름다운 힘에<br>그만 감격하고 말았어.,,,,,,,,,,,
