Ignore,Key,Message
Y,メッセージ,
,msg1,……好溫暖。<br>一雙發出金色光芒的手，<br>正為我按住胸前的傷口。
,msg2,這雙手的主人，正是奧菈小姐。<br>我們四目相對，<br>她向我微微一笑……
,msg3,我一直想向您道謝，<br>謝謝您當時救了奶奶。
,msg4,聽到這句話，<br>奧菈小姐露出一抹<br>略帶悲傷的笑容，<br>將我緊緊地擁入懷中……
,msg5,——當我回過神來，<br>發現自己正被鷺絲堤卡小姐<br>抱在懷裡。
,msg6-1,那些男人已經不知去向，<br>奧菈小姐也不見了。
,msg6-2,難道是為了要治好我的傷……？
,msg7,「不，妳讓她獲得了自由。<br>　這樣我也能……」
,msg8,我不能把鷺絲堤卡小姐<br>一個人留在這裡。<br>我立刻向她伸出手——
,msg9,「您是否願意，<br>　和我一起去看看這個世界呢？」
,msg10,鷺絲堤卡小姐睜大了眼睛，<br>隨即微笑著握住了我的手。
,msg11-1,奶奶，我不會再壓抑<br>自己的悲傷了。
,msg11-2,我會重拾爸爸媽媽<br>還有您給我的回憶，<br>痛快地大哭一場再繼續前行。
,msg12,那樣一來，<br>我一定能再一次，<br>自由地飛翔。
