Ignore,Key,Message
Y,メッセージ,
,msg1,"<i>팔백아흔일곱...<br>팔백아흔여덟...<br>팔백아흔, 아호... 윽!</i>"
,msg2,"후리기 수련 도중,<br>갑작스런 통증에 검을 도로 꽂았다."
,msg3,"붉게 물든 붕대를 풀어보니<br>아니나 다를까,<br>아물어 가던 손의 물집이<br>까져 있었다."
,msg4-1,이래서야 또 치료사님께<br>꾸지람을 듣겠어.
,msg4-2,하지만 이대로 수련을 멈췄다간...
,msg5,<i>‘검술이 강한 자만 가치가 있다.’</i>
,msg6-1,"다시금,<br>아버지의 말씀이 생각났다."
,msg6-2,그리고 그것은 머릿속에서<br>메아리처럼 계속 울려 퍼졌다.
,msg7,역시 나에게는 검을 쥘<br>자격이 없는 것일까...?
,msg8,"조각가의 칼은 훌륭한 작품을 낳고,<br>나무꾼의 도끼는 거목마저 베어낸다."
,msg9,그렇다면 나는...<br>내 검은 무엇을 할 수 있지...?
,msg10-1,‘...시즈.’
,msg10-2,부르는 소리에<br>고개를 올려다 본 그곳엔...
,msg11,"<i>영주, 님...</i>"
