Ignore,Key,Message,,,,,
Y,メッセージ,,,,,,
,msg1,"눈이 녹기 시작하며,<br>봄볕이 어슴푸레 스며드는 아침.",,,,,
,msg2,"새 옷을 꺼내 걸치고,<br>머리를 묶고서 안뜰로 향했다.",,,,,
,msg3,눈앞에는 나란히 늘어선 짚단들.<br>눈을 감고 호흡을 가다듬은 뒤...<br>검을 휘둘렀다.,,,,,
,msg4,"천천히 검을 칼집에 거두자,<br>짚단은 소리도 없이 떨어졌다.<br>단면은... 모두 깨끗했다.",,,,,
,msg5,영주님께선 말씀하셨다.<br>중요한 것은 내가 어떻게<br>하고 싶은가... 라고.,,,,,
,msg6-1,저는 그리 말씀한 영주님과<br>이곳의 모든 분을 지키고 싶어요.,,,,,
,msg6-2,그러기 위해서라도 시즈는<br>검술을 갈고닦아 나가겠습니다.,,,,,
,msg7,영주님의 소중한 가르침을<br>잊지 않겠습니다.<br>더는 뒤돌아보지 않겠습니다.,,,,,
,msg8,"몸과 마음을 쇄신하여,<br>영주님을 받들어 섬기겠습니다.",,,,,
,msg9,이 시즈가 당신의 곁에서<br>영원히 피어나 있을 겁니다.,,,,,
,msg10,"그날 눈 속에 피어 있었던,<br>하얀 꽃처럼...",,,,,
