Ignore,Key,Message,,,,,,,
Y,メッセージ,,,,,,,,
,msg1,"아우라에게 꽃을 바치러 온 소녀는,<br>일전에 할머니의 병을 고쳐 달라고<br>소원을 빌었던 아이였다.",,,,,,,
,msg2,‘할머니가 돌아가셨는데도<br> 눈물이 나오질 않아요...<br> 참 못난 손녀죠?’,,,,,,,
,msg3-1,그렇게 말하는 소녀의 표정은<br>어딘가 낯익었다.,,,,,,,
,msg3-2,"                            유리에 비치던,<br>울 것 같은 내 얼굴과 똑같아...",,,,,,,
,msg4,<i>하지만 지금 당장이라도<br>울 것 같은 표정인걸.</i>,,,,,,,
,msg5,"‘제가, 울 것 같아요...?’",,,,,,,
,msg6,"소녀는 그 말을 곱씹어 보더니,<br>봇물이 터진 듯이 울기 시작했다.",,,,,,,
,msg7,"퉁퉁 불어 터진 눈을 하고선,<br>틸리가 아우라의 묘에<br>꽃을 바쳤다.",,,,,,,
,msg8,"그 모습에 마음이 누그러져,<br>간만에 긴장을 풀고 말았다.",,,,,,,
,msg9,틸리의 배후로 다가오는<br>인간조차 깨닫지 못할 만큼...,,,,,,,
