Ignore,Key,Message,,
Y,メッセージ,,,
,msg1-1,我都不知道，<br>原来做决定是这么可怕的事情。,,
,msg1-2,原来我们，<br>一直都把这么可怕的事情<br>推给老大一个人。,,
,msg2,对不起，<br>我们只知道依赖你……,,
,msg3-1,可是我……<br>还是想当你的同伴。,,
,msg3-2,所以我……！,,
,msg4,“开门救人吧！”,,
,msg5,我用颤抖的声音大喊。,,
,msg6,“要是因为对方是人类<br>　就见死不救，<br>　那我们做的事就跟魔女狩猎<br>　没什么两样了！”,,
,msg7-1,此时突然有一名同伴不安地问：,,
,msg7-2,“可是老大会怎么想……”,,
,msg8-1,“老大现在人不在这里，<br>　所以这件事<br>　要由我们自己来决定。,,
,msg8-2,　做不了决定的话……<br>　我们哪有脸说<br>　自己是老大的同伴！”,,
,msg9-1,我迈开发抖的双腿<br>往大门走去。,,
,msg9-2,我不知道这么做究竟对不对，<br>但我要听从自己内心的声音……,,
,msg10,就算没资格站在你的身边，<br>至少也要能够抬头挺胸地说，<br>我是你的同伴。,,
