Ignore,Key,Message
Y,メッセージ,
,msg1,逃げ出したアタシを、<br>か細い足音が追いかけてきた。
,msg2,「来ないでよっ！」
,msg3,叫んだ声は、<br>錆びついた機械の悲鳴のよう。
,msg4,「アタシより自分に優しくしてよ！<br>　もっとたくさん生きてよ！」
,msg5,一度歯車が外れると、<br>押し殺していた言葉が<br>次々と溢れてきた。
,msg6-1,「お母様よりアタシを愛してよ！<br>　もっと長生きしてよ！　
,msg6-2,　アタシと一緒に生きて、<br>　アタシと一緒に死んでよ！！」
,msg7,「アタシを一人にしないでよ……」
,msg8,崩れ落ちそうなアタシを、<br>小さな腕が抱き止める。
,msg9,「大丈夫。私は死なない」
,msg10,機械仕掛けの温かな声が、<br>あるはずのない魂を震わせた。
,msg11,「私はお姉ちゃんだから」
,msg12,「どうして……<br>　人間みたいなこと<br>　言うのよぉ……」
,msg13-1,涙があふれた。<br>止まらなかった。
,msg13-2,アタシよりも小さな、<br>今にも壊れそうな存在が、<br>はるかに大きく見えた。
,msg13-3,もう、どうにもならなかった。
,msg14,「うあぁぁぁぁぁん！」
,msg15,「やだぁ……<br>　やだよぉ……おねえちゃん<br>　しんじゃやだあああああ！」
,msg16,優しく小さな手は、<br>泣きじゃくるアタシを<br>いつまでも撫でていた。
