Ignore,Key,Message,,
Y,メッセージ,,,
,msg1-1,모래 폭풍에 뒤덮인 세상.<br>정신을 차린 내 눈앞에<br>펼쳐진 풍경이었다.,,모래 폭풍에 뒤덮인 세상.<br>그것이 정신을 차리자<br>내 눈에 들어온 풍경.
,msg1-2,메마른 대지와<br>사막화된 도시...,,
,msg1-3,생존자가 있기나 할지<br>감도 오지 않았다.,,
,msg2-1,"그 후,<br>난 지팡이를 지닌 자와<br>그 동료들이 구해주었고",,
,msg2-2,자초지종을 전부<br>들을 수 있었다.,,
,msg3,"<i>‘만나지 않았더라면 좋았다...<br> 나랑 만나지 않았다면,<br> 아이셰는...!’</i>",,
,msg4-1,모래 폭풍에 섞여서<br>그 아이의 목소리가 들린다.,,
,msg4-2,"밀어내면서도 매달리는 듯한,<br>내 친구의 목소리...",,
,msg5,‘만나지 않았더라면 좋았다’...<br> 그럴지도 모르지.,,
,msg6-1,하지만 널 만나지 않았다면<br>아마 난...,,
,msg6-2,다름을 받아들이지 못하고<br>배척할 줄밖에 모르는<br>꽉 막힌 학자가 됐을 거야.,,
,msg7-1,너희 부족의 기분 같은 건<br>생각도 안 하는...,,
,msg7-2,"아니... 지금도 그래.<br>나, 전혀 모르고 있었어.<br>홀로 남겨진 네 기분...",,
,msg8,그러니 또 내게 가르쳐 줘.<br>너에 대한 것...<br>나도 가르쳐 줄 테니까.,,
,msg9-1,우리의 만남은<br>잘못되지 않았어.,,
,msg9-2,"마음의 상처를 치유하고<br>외로움을 채워주는 건,",,
,msg9-3,곁에 있어주는 누군가의<br>따스한 온기야.,,
,msg10,"만일 네가 지금<br>괴로워하고 있다면,<br>내가 그 곁에 있어줄게.",,
,msg11-1,그건 널 만난 덕에<br>바뀔 수 있었던 내가...,,
,msg11-2,친구이기에 해줄 수<br>있는 일이잖아.,,
,msg11-3,"그렇지, 리베리아...?",,
