Ignore,Key,Message,,,,,,,
Y,メッセージ,,,,,,,,
,msg1-1,醒来吧，求求你……<br>睁开眼睛啊……,,,,,,,
,msg1-2,不管尝试多少次，<br>勇者大人都没有醒来……,,,,,,,
,msg2-1,我不断告诉自己<br>这不可能、绝对不可能，,,,,,,,
,msg2-2,但是心中的疑虑<br>却日渐加深——,,,,,,,
,msg3,难道“死者能够复生”，<br>只是一个谎言？,,,,,,,
,msg4,难道我……<br>上了所罗门的当？,,,,,,,
,msg5-1,如果是这样，<br>那我所做的一切，<br>岂不是全都错了……,,,,,,,
,msg5-2,到头来，我只是<br>亲手杀了他而已……！,,,,,,,
,msg5-3,……啊啊，啊啊啊啊……！,,,,,,,s
,msg6-1,有人开始消除<br>灵魂的诅咒了……,,,,,,,
,msg6-2,啊……是啊，<br>他们要来杀掉我这个<br>散播诅咒的魔女……,,,,,,,
,msg7-1,为什么？<br>明明我只是想拯救<br>自己挚爱的人而已……,,,,,,,
,msg7-2,为什么怎么都办不到啊！,,,,,,,
,msg8,啊，最后的诅咒<br>也被消除了……<br>那群人就快来到我面前，<br>来杀死魔女。,,,,,,,
,msg9,来人是神杖的“继承者”，<br>拥有和勇者大人同样的灵魂。,,,,,,,
,msg10-1,啊……啊啊……！,,,,,,,
,msg10-2,能被神杖选中的高洁心灵！<br>与勇者大人同样的灵魂形状！,,,,,,,
,msg10-3,我终于找到了。<br>有了这个人，<br>勇者大人就一定能醒过来了！,,,,,,,
,msg11-1,“啊，你终于来了。<br>　我一直都盼着与你<br>　相遇的这一天。,,,,,,,
,msg11-2,　我可爱的、命运所赐之人……”,,,,,,,
