Ignore,Key,Message,,,,,,,
Y,メッセージ,,,,,,,,
,msg1-1,目覚めて、お願い……<br>目覚めてよ……。,,,,,,,
,msg1-2,何度繰り返しても、<br>勇者様は目を覚まさなかった……。,,,,,,,
,msg2-1,そんなはずない、<br>そんなはずがないと<br>言い聞かせても、,,,,,,,
,msg2-2,その疑念は日増しに<br>大きくなっていく。,,,,,,,
,msg3,──死者が生き返る<br>という話は、嘘だったのでは。,,,,,,,
,msg4,──私は、ソロモンに、<br>騙されたのでは……。,,,,,,,
,msg5-1,だとしたら、<br>私がしてきたことは、<br>全部間違い……。,,,,,,,
,msg5-2,私は、あの人を、<br>殺しただけに……っ。,,,,,,,
,msg5-3,……ああ、<br>……あああぁぁ……っ。,,,,,,,s
,msg6-1,……誰かが、霊魂の呪いを<br>消し始めた……。,,,,,,,
,msg6-2,ああ、そう……<br>呪いの魔女となった私を<br>殺しに来たのね……。,,,,,,,
,msg7-1,……どうして。<br>大切な人を<br>救いたいだけなのに……,,,,,,,
,msg7-2,どうして何も<br>上手くいかないのよぉっ！,,,,,,,
,msg8,ああ、最後の呪いも消えた……。<br>魔女を殺そうと、<br>あいつらが私の前に現れる。,,,,,,,
,msg9,杖を持った、<br>あの人と同じ魂の<br>「継承者」が。,,,,,,,
,msg10-1,……ぁあ。ああ……！,,,,,,,
,msg10-2,杖に選ばれるほど高潔な心。<br>あの人と同じ魂の形！,,,,,,,
,msg10-3,やっと見つけた。<br>これなら間違いなく<br>勇者様も目覚めるわ！,,,,,,,
,msg11-1,「ああ、よく来てくれたわ。<br>　あなたに会える日を<br>　ずっと待っていたの。,,,,,,,
,msg11-2,　私の愛しい、<br>　運命のあなた」,,,,,,,
