Ignore,Key,Message,,,,
Y,メッセージ,,,,,
,msg1,あれから少しだけ、<br>シロは前に進めた気がするんだ。,,,,
,msg2,悲しい時はちゃんと泣いて、<br>それから笑うの。<br>もう我慢なんてしてないよ。,,,,
,msg3-1,お父さんとお母さんのことを<br>思い出して、,,,,
,msg3-2,ちょっぴり寂しくなる時もあるけど……,,,,
,msg3-3,でも、大丈夫。,,,,
,msg4-1,新しい家族が……,,,,
,msg4-2,おねーちゃんとアンが<br>側にいてくれるから、<br>もうちゃんと笑えるよ。,,,,
,msg5,「おねーちゃん、見て見て！」,,,,
,msg6,「ふふっ。<br>　今度はうまく焼けたわね」,,,,
,msg7-1,おねーちゃんが笑ってくれると、<br>シロも笑顔になるの。,,,,
,msg7-2,それが嬉しくて、幸せで……<br>もっといっぱい、<br>笑ってほしくなっちゃうんだ。,,,,\
,msg8,この気持ち……<br>お父さんとお母さんも、<br>きっと同じだったんだね。,,,,
,msg9-1,笑顔と笑顔がつながって、<br>みんなが幸せになれるように……,,,,
,msg9-2,シロはこれからも<br>いっぱい笑うんだ。,,,,
,msg10,だって──<br>シロの笑顔は魔法なんだもんっ！,,,,
