Ignore,Key,Message
Y,メッセージ,
,msg1,"Nicht nur einmal, sondern zweimal haben Sie mir mein Leben gerettet ..."
,msg2,"Sie werden mir bestimmt immer zu Hilfe kommen,<br>so wie damals, nicht wahr ...? "
,msg3,"(Ach, mein Herzog ... <br>Ich weiß genau, dass Sie der einzige sind, dem ich zu dienen habe ...)"
,msg4,"Warum führt die Kirche ausgerechnet jetzt,<br>wo die Welt von Flüchen zerfressen wird, diese Hexenjagden durch ...?"
,msg5,"Weil sie behauptet: <br>„Wenn wir die Hexen dahinraffen, verschwinden auch die Flüche!“"
,msg6,"Obwohl es doch so aussieht, <br>als ob die Kirche selbst die Flüche verbreiten würde."
,msg7,"Wir haben Besuch ...! Iris, kannst du aufstehen?"
,msg8,Selbstverständlich!<br>Die Welt braucht den Herzog inzwischen mehr denn je.
,msg9,Ihr Kirchenschweine werdet ihn nicht von uns nehmen!
,name1,Iris
,name2,Illya
