Ignore,Key,Message
Y,メッセージ,
,msg1,"Pensar que me salvarías la vida no una, sino dos veces..."
,msg2,"Siempre estarás ahí para salvarme, ¿verdad...?<br>Tal como lo hiciste hace tantos años..."
,msg3,"(Oh, milord... <br>sabía que a la única persona que debería servir... eras tú...)"
,msg4,"El mundo está siendo devastado por maldiciones,<br>así que ¿por qué la iglesia está llevando a cabo esta ""cacería de brujas""...?"
,msg5,"Es porque dicen: ""Si matamos a las brujas, <br>entonces, las maldiciones desaparecerán junto con ellas""."
,msg6,"Aunque, parece que <i>ellos son</i> los que están<br>detrás de la propagación de las maldiciones."
,msg7,"¡Tenemos compañía...! <br>Iris, ¿todavía puedes seguir?"
,msg8,Por supuesto que sí. <br>Este mundo necesita al duque más que a nadie en este momento.
,msg9,¡No dejaré que esas sabandijas de la iglesia nos lo roben!
,name1,Iris
,name2,Illya
