Ignore,Key,Message
Y,メッセージ,
,msg1,Ты снова спас меня - уже во второй раз...
,msg2,"Ты всегда будешь рядом, чтобы прийти мне на помощь, правда?..<br>Как тогда, много лет назад..."
,msg3,"(О, господин...<br>Я знала, что служить тебе - единственно верный выбор для меня...)"
,msg4,"Мир терзают Проклятия,<br>а Церковь проводит эту ""Охоту на ведьм""... Почему?"
,msg5,"Они утверждают, что ""если уничтожить ведьм,<br>вместе с ними исчезнут и Проклятия""."
,msg6,"Хотя, думается мне, что это <i>они</i> стоят за их распространением."
,msg7,"У нас гости!..<br>Айрис, ты еще можешь сражаться?"
,msg8,"Конечно.<br>Герцог нужен этому миру сейчас, как никто другой."
,msg9,Я не позволю этим церковным свиньям отнять его у нас!
,name1,Айрис
,name2,Иллия
