Ignore,Key,Message
Y,メッセージ,
,msg1,"To think you would save my life not once, but twice..."
,msg2,"You will always be there to save me, won’t you...<br>Just as you did all those years ago..."
,msg3,"(Oh, my lord... <br>I knew that the only one for me to serve...was you...)"
,msg4,"The world is being ravaged by Curses,<br>so why is the Church carrying out this “Witch Hunt...?”"
,msg5,"It’s because they claim, “If we kill the witches, <br>then the Curses will vanish along with them.”"
,msg6,"Although, it looks like <i>they’re</i> the ones behind the spread of the Curses."
,msg7,"We’ve got company...! <br>Iris, do you still have some fight left in you?"
,msg8,Of course I do. <br>This world needs the Duke more than anyone right now.
,msg9,I won’t let you Church swine steal him away from us!
,name1,Iris
,name2,Illya
