Ignore,Key,Message
Y,メッセージ,
,msg1,"أشعر بالارتياح عند رؤيتكِ بأمان، يا آنسة روزالي."
,msg2,نعم لقد واجهتن جميعًا مشكلة كبيرة لإنقاذي.<br>لأنكن اعتقدتن أن كنيسة لونجينوس ستقطع كل هذا الطريق إلى هنا...
,msg3,"والأكثر من ذلك، وجدت نفسي متفاجئة<br>عندما اختفت اللعنة فجأة... <br>آه، لقد فهمت، لقد وجدت العصا السحرية وريثها الجديد."
,msg4,أتعلمين أي شيء حول هذه العصا السحرية؟
,msg5,"لا أعرف الكثير، ولكن كان ذلك منذ وقت طويل للغاية..."
,msg6,...! الوحوش؟! تفوح رائحة إراقة دمائهم في الهواء...<br> وهي تزداد قوة كل لحظة!<br>هل يمكن جذبهم بقوة العصا السحرية...؟
,msg7,"لا تخافا. إذا هدأتما من روعكما وواجهتما العدو،<br>فلن يتغلب عليكما أي مخلوق ملعون."
,name1,آيرس
,name2,إيليا
,name3,روزالي
