Ignore,Key,Message
Y,メッセージ,
,msg1,ข้าดีใจที่ได้เห็นท่านปลอดภัยค่ะ ท่านโรซาลี
,msg2,อืม ขอบคุณที่ช่วยข้า ลำบากพวกเจ้าแล้ว<br>ข้าไม่คิดว่าศาสนจักรแห่งลองกินุสจะมาไกลถึงขนาดนี้...
,msg3,ยิ่งไปกว่านั้นข้าไม่คาดคิดเลยว่า <br>คำสาปจะสลายไปในพริบตา...<br> อา เข้าใจแล้ว ไม้เท้าพบผู้สืบทอดคนใหม่แล้วสินะ
,msg4,เจ้ารู้เรื่องเกี่ยวกับไม้เท้านี้หรือไม่
,msg5,เพียงเล็กน้อยเท่านั้น แต่นั่นก็เป็นเรื่องราวเมื่อนานมาแล้ว...
,msg6,...!ปีศาจ?! กลิ่นความกระหายเลือดของพวกมันลอยมาในอากาศ... <br>แถมยังรุนแรงขึ้นทุกวินาที!<br>หรือว่าพวกมันถูกดึงดูดเข้ามาด้วยพลังของไม้เท้า...
,msg7,อย่าได้กลัวไป หากเจ้าทำใจให้นิ่งแล้วเผชิญหน้ากับศัตรู <br>ไม่มีอสูรต้องสาปใดที่จะมีพลังเหนือเจ้าได้
,name1,ไอริส
,name2,อิลลิยา
,name3,โรซาลี
