Ignore,Key,Message
Y,メッセージ,
,msg1,"Aku merasakan kekuatan yang dahsyat di depan sana.<br>Sepertinya itu adalah orang yang mengeluarkan kutukan ini—""Penyihir Qlipha."""
,msg2,Tapi lihatlah baik-baik kota itu.<br>Kita bahkan tidak bisa mendekatinya karena kutukan.
,msg3,"Jika begini terus, semua negara akan hancur.<br>Seseorang harus menghentikan dia sebelum itu terjadi."
,msg4,"Jadi <i>itu</i> adalah kutukan dari ""Penyihir Qlipha...""<br>Aku tidak pernah membayangkan akan jadi semengerikan ini..."
,msg5,"...Tunggu, dengan kekuatan kita sekarang, <br>mungkin kita bisa selamatkan kota itu."
,msg6,...Hah?!
,msg7,"Tongkatnya memiliki kekuatan untuk memulihkan tanah yang terkutuk. <br>jika tongkat itu bisa melakukannya, mungkin itu bisa melakukan hal yang sama <br>pada beberapa kota yang telah hancur oleh kutukan."
,msg8,"Tentu saja, itu lebih mudah diucapkan daripada dilakukan.<br>Tapi jika itu kamu, mungkin..."
,msg9,Tolong! gunakan kekuatanmu dan selamatkan mereka!
,name1,Iris
,name2,Illya
,name3,Rosalie
