Ignore,Key,Message
Y,メッセージ,
,msg1,O que foi aquela inimiga de agora?
,msg2,"Parecia humana exatamente como nós,<br>mas com algo de diferente..."
,msg3,"Pois saiba que aquilo era uma sombra do coração. Emoções negativas que afluíram<br>de um coração desesperado, transformaram-se em sombra e descontrolaram-se. <br>Isso também decerto foi influência da maldição."
,msg4,(Eu não fiz nada de errado.<br>Como podem me tratar assim só por ser bruxa...?)
,msg5,"Hein, de onde veio essa voz de agora...?"
,msg6,"O poder de uma bruxa é o poder do coração. Entrar em contato com <br>a maldição — ou seja, com a força de Qlipha — significa entrar em <br>contato também com o coração das bruxas."
,msg7,Pois estamo-nos aproximando de uma Bruxa de Qlipha. <br>Decerto tivemos uma visão graças ao poder do cajado.
,name1,Iris
,name2,Illya
,name3,Rosalie
,name4,???
