Ignore,Key,Message
Y,メッセージ,
,msg1,何とかクリファの魔女を止められたけど……<br>あんな小さな子だったなんて……
,msg2,元は普通の優しい子じゃったのじゃろう。<br>しかし何者かに心の弱さを利用され、暴走してしまったようじゃ。 
,msg3,そんな……誰がそんなことを…… 。
,msg4,……確かなことはわからぬ。<br>いずれにせよ、杖の力で元に戻せたようじゃな。<br>じきに目を覚ますじゃろう。
,msg5,他の国にも、同じように暴走させられた<br>クリファの魔女がいるのでしょうか。
,msg6,そうじゃろう。世界に10人おるクリファの魔女。<br>恐らくは全員が何者かに暴走させられておる。<br>それが世界中に広がる10の呪いとなっておるのじゃ。
,msg7,……っ！　体が……っ！！
,msg8,お主、どうしたのじゃ！？ 
,msg9,（全身が、痛い……<br>　もしかして、呪いは消したんじゃなくて……私の……）
,msg10,……大丈夫。何でもないよ。<br>ちょっと疲れただけだから。
,msg11,それより、この先も操られているクリファの魔女を助けていけば<br>世界は救われるんだよね。じゃあ早く行かなきゃ。<br>私たちに立ち止まってる暇なんてないんだから。
,name1,アイリス
,name2,イリア
,name3,ロザリー
